生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   146047    0.102    0.000    7.405    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\shared.py:80(has_ph_elm)
  7089974    5.088    0.000    7.389    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\ns.py:60(__init__)
   199155    0.258    0.000    7.307    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:521(font)
   690428    5.367    0.000    7.301    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:21(OxmlElement)
    79662    0.261    0.000    7.211    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:63(rgb)
   199155    0.217    0.000    6.867    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:648(_defRPr)
   159324    0.571    0.000    6.751    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:685(_remove_choice_group)
  7089974    4.314    0.000    6.621    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\ns.py:57(__new__)
    13277    0.082    0.000    6.520    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:99(clone_placeholder)
    13277    0.073    0.000    6.440    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\parts\presentation.py:116(_next_slide_partname)
861609/835047    6.365    0.000    6.417    0.000 {built-in method builtins.len}
    26554    0.164    0.000    6.245    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:168(text)
   159324    0.263    0.000    6.126    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:701(get_group_member_element)
    26554    0.048    0.000    5.692    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:368(add_textbox)
   106216    0.196    0.000    5.205    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:552(set_spcPts)
    66385    0.096    0.000    5.104    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:371(name)
    66385    0.169    0.000    4.076    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:399(append_text)
    39831    0.031    0.000    4.022    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:621(_shape_factory)
    39831    0.058    0.000    3.991    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:879(SlideShapeFactory)
    26590    0.105    0.000    3.860    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:218(write)
    26590    0.227    0.000    3.705    0.000 zipfile\__init__.py:1862(writestr)
    79662    0.199    0.000    3.675    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:33(from_fill_parent)
    79662    0.046    0.000    3.671    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:60(fore_color)
    66385    0.113    0.000    3.643    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:390(add_r)
    79662    0.085    0.000    3.606    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\shared.py:131(ph_type)
   185963    3.594    0.000    3.594    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\__init__.py:35(parse_xml)
    26554    0.080    0.000    3.548    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:470(_add_textbox_sp)
   385180    1.211    0.000    3.494    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:267(set_attr_value)
