生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13277    0.053    0.000    0.257    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:369(__getitem__)
    13277    0.019    0.000    0.257    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:508(alignment)
    92939    0.134    0.000    0.252    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\autoshape.py:285(__init__)
    26554    0.128    0.000    0.250    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:640(_next_rId)
    26590    0.248    0.000    0.248    0.000 {built-in method zlib.compressobj}
    39968    0.139    0.000    0.243    0.000 <frozen posixpath>:100(split)
   690428    0.241    0.000    0.241    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\ns.py:76(nsmap)
    66385    0.069    0.000    0.238    0.000 re\__init__.py:179(sub)
   186023    0.113    0.000    0.229    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:116(validate)
225880/212603    0.128    0.000    0.227    0.000 {method 'join' of 'str' objects}
   756828    0.219    0.000    0.219    0.000 {method 'items' of 'dict' objects}
    13277    0.030    0.000    0.217    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:24(background)
    13299    0.018    0.000    0.215    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\oxml.py:101(new)
   132876    0.130    0.000    0.215    0.000 re\__init__.py:280(_compile)
    13277    0.015    0.000    0.211    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\presentation.py:41(slide_height)
    79662    0.131    0.000    0.209    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:415(validate)
    26588    0.008    0.000    0.207    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:91(iter_rels)
    13291    0.031    0.000    0.206    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:598(iter_rels_in_numerical_order)
    39995    0.127    0.000    0.202    0.000 <frozen posixpath>:71(join)
79780/26588    0.060    0.000    0.199    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:98(walk_rels)
    26655    0.030    0.000    0.194    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:33(baseURI)
   199155    0.182    0.000    0.182    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:288(__init__)
        1    0.000    0.000    0.181    0.181 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:210(__exit__)
        4    0.000    0.000    0.181    0.045 zipfile\__init__.py:1942(close)
        1    0.095    0.095    0.181    0.181 zipfile\__init__.py:1964(_write_end_record)
   265685    0.117    0.000    0.173    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:61(validate_string)
    13298    0.026    0.000    0.166    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:384(_rels)
    13294    0.031    0.000    0.160    0.000 {built-in method builtins.sorted}
    13277    0.018    0.000    0.159    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:603(validate)
    26554    0.038    0.000    0.150    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:44(related_part)
    79664    0.084    0.000    0.142    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\util.py:74(__new__)
   159324    0.138    0.000    0.138    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:132(__init__)
    79662    0.075    0.000    0.137    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:252(__init__)
    13277    0.020    0.000    0.137    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\parts\presentation.py:85(related_slide_master)
    13277    0.066    0.000    0.131    0.000 E:\res\ppt.py:47(parse_hex_color)
    79662    0.071    0.000    0.130    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:482(__init__)
    79665    0.037    0.000    0.130    0.000 <frozen abc>:121(__subclasscheck__)
    39878    0.062    0.000    0.129    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:599(<genexpr>)
    26554    0.057    0.000    0.129    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\autoshape.py:420(_textbox_sp_tmpl)
    79662    0.124    0.000    0.124    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:291(__str__)
    53145    0.042    0.000    0.122    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:509(__iter__)
    53319    0.040    0.000    0.120    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:20(from_xml)
    26590    0.118    0.000    0.118    0.000 {built-in method time.localtime}
    92939    0.117    0.000    0.117    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\base.py:19(__init__)
   159324    0.117    0.000    0.117    0.000 {method 'index' of 'str' objects}
    26554    0.015    0.000    0.117    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:166(<genexpr>)
    13291    0.010    0.000    0.115    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\oxml.py:106(xml)
    53265    0.051    0.000    0.110    0.000 <frozen posixpath>:60(isabs)
    13291    0.104    0.000    0.104    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\oxml.py:31(oxml_tostring)
    26626    0.037    0.000    0.102    0.000 zipfile\__init__.py:387(__init__)
    13277    0.028    0.000    0.102    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:616(text)
    87601    0.099    0.000    0.099    0.000 {method 'sub' of 're.Pattern' objects}
    39831    0.059    0.000    0.098    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:25(__init__)
   119493    0.097    0.000    0.097    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\__init__.py:16(__init__)
        1    0.023    0.023    0.097    0.097 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:262(_defaults_and_overrides)
   212722    0.095    0.000    0.095    0.000 {method 'write' of '_io.BufferedRandom' objects}
    79665    0.093    0.000    0.093    0.000 {built-in method _abc._abc_subclasscheck}
    13313    0.012    0.000    0.091    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:52(filename)
    39852    0.036    0.000    0.091    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:513(__len__)
   133228    0.055    0.000    0.090    0.000 <frozen posixpath>:41(_get_sep)
    26583    0.055    0.000    0.088    0.000 <frozen genericpath>:81(commonprefix)
    13277    0.014    0.000    0.086    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\parts\slide.py:288(related_slide_layout)
   172601    0.084    0.000    0.084    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\util.py:32(centipoints)
    66385    0.078    0.000    0.078    0.000 {method 'split' of 're.Pattern' objects}
    79770    0.042    0.000    0.077    0.000 zipfile\__init__.py:494(_encodeFilenameFlags)
    13277    0.032    0.000    0.077    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\parts\slide.py:226(slide)
    79662    0.077    0.000    0.077    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:339(__init__)
    26554    0.025    0.000    0.076    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:609(convert_from_xml)
    13277    0.034    0.000    0.075    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\slide.py:233(_sld_xml)
    79662    0.044    0.000    0.073    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:408(convert_to_xml)
    53265    0.054    0.000    0.072    0.000 <frozen posixpath>:138(splitroot)
   359504    0.067    0.000    0.067    0.000 {built-in method nt.fspath}
    53182    0.067    0.000    0.067    0.000 {method 'tell' of '_io.BufferedRandom' objects}
    13277    0.027    0.000    0.066    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:231(__init__)
    79662    0.066    0.000    0.066    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:28(__init__)
    26626    0.040    0.000    0.065    0.000 zipfile\__init__.py:341(_sanitize_filename)
    26554    0.040    0.000    0.064    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\enum\base.py:200(to_xml)
    39878    0.022    0.000    0.063    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:606(<genexpr>)
   173182    0.063    0.000    0.063    0.000 {method 'startswith' of 'str' objects}
    13277    0.023    0.000    0.063    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\autoshape.py:405(_ph_sp_tmpl)
    10616    0.032    0.000    0.060    0.000 {method 'format' of 'str' objects}
    13277    0.027    0.000    0.059    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:197(_txBody_tmpl)
    13277    0.058    0.000    0.058    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:107(ph_basename)
    79771    0.057    0.000    0.057    0.000 {built-in method _struct.pack}
    31813    0.056    0.000    0.056    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:231(__call__)
    79662    0.054    0.000    0.054    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:26(__init__)
    79664    0.054    0.000    0.054    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:98(convert_to_xml)
    13277    0.049    0.000    0.053    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:415(content_children)
    79662    0.051    0.000    0.051    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\enum\base.py:192(from_xml)
    39878    0.021    0.000    0.051    0.000 <frozen _collections_abc>:868(__iter__)
    79695    0.050    0.000    0.050    0.000 {method 'isdigit' of 'str' objects}
    13302    0.010    0.000    0.049    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:42(ext)
    10608    0.030    0.000    0.049    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:273(_is_ascii)
    26590    0.038    0.000    0.049    0.000 zipfile\__init__.py:1806(_writecheck)
    66385    0.036    0.000    0.048    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:153(type)
    26725    0.028    0.000    0.048    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:18(__new__)
    39831    0.033    0.000    0.047    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shared.py:64(part)
    26587    0.021    0.000    0.046    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:723(target_partname)
    13280    0.039    0.000    0.045    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shared.py:78(__init__)
    39854    0.035    0.000    0.044    0.000 <frozen _collections_abc>:827(values)
    26698    0.042    0.000    0.042    0.000 {built-in method zlib.crc32}
    13278    0.019    0.000    0.039    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:67(__init__)
     5304    0.026    0.000    0.038    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:1446(format_dict)
    10607    0.032    0.000    0.037    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:400(format_interval)
    66409    0.037    0.000    0.037    0.000 {method 'strip' of 'str' objects}
    66576    0.036    0.000    0.036    0.000 {method 'rfind' of 'str' objects}
    79771    0.036    0.000    0.036    0.000 {method 'encode' of 'str' objects}
    13302    0.012    0.000    0.036    0.000 <frozen posixpath>:117(splitext)
   159540    0.035    0.000    0.035    0.000 zipfile\__init__.py:1193(_fileobj)
    93256    0.034    0.000    0.034    0.000 {method 'endswith' of 'str' objects}
     5389    0.017    0.000    0.034    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:102(acquire)
    13291    0.026    0.000    0.031    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:397(__init__)
     5389    0.019    0.000    0.029    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:106(release)
    26587    0.013    0.000    0.029    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:713(target_part)
   186023    0.029    0.000    0.029    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:112(convert_to_xml)
    79662    0.029    0.000    0.029    0.000 {method 'upper' of 'str' objects}
    26565    0.027    0.000    0.027    0.000 {method 'replace' of 'str' objects}
    53110    0.027    0.000    0.027    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shared.py:82(part)
     5304    0.022    0.000    0.026    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:186(__format__)
    13277    0.020    0.000    0.025    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:490(__init__)
    26554    0.024    0.000    0.024    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\enum\base.py:169(validate)
    26554    0.016    0.000    0.023    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\compat\python3.py:29(to_unicode)
    66473    0.022    0.000    0.022    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:347(partname)
    13281    0.016    0.000    0.020    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shared.py:52(__init__)
    43589    0.019    0.000    0.019    0.000 {built-in method time.time}
    13302    0.012    0.000    0.019    0.000 <frozen genericpath>:133(_splitext)
    40000    0.018    0.000    0.018    0.000 {method 'rstrip' of 'str' objects}
    26630    0.018    0.000    0.018    0.000 {built-in method builtins.min}
    26626    0.017    0.000    0.017    0.000 {method 'find' of 'str' objects}
    13291    0.014    0.000    0.017    0.000 <frozen _collections_abc>:819(keys)
   111397    0.017    0.000    0.017    0.000 {built-in method builtins.ord}
    26587    0.017    0.000    0.017    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:689(is_external)
    26626    0.015    0.000    0.015    0.000 {function ZipExtFile.close at 0x0000022E8F8931A0}
    53145    0.015    0.000    0.015    0.000 {built-in method builtins.iter}
    39838    0.015    0.000    0.015    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shared.py:16(__init__)
    26590    0.015    0.000    0.015    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:80(membername)
     14/3    0.000    0.000    0.014    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
    13298    0.005    0.000    0.014    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:361(rels)
     14/3    0.000    0.000    0.014    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       83    0.000    0.000    0.014    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:760(get_lock)
    39903    0.014    0.000    0.014    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.013    0.013 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:90(__init__)
        1    0.000    0.000    0.013    0.013 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:116(create_mp_lock)
     5303    0.013    0.000    0.013    0.000 {built-in method now}
     13/3    0.000    0.000    0.013    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
     11/3    0.000    0.000    0.013    0.004 <frozen importlib._bootstrap_external>:989(exec_module)
     5389    0.013    0.000    0.013    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
    66385    0.013    0.000    0.013    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\base.py:52(element)
     33/6    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     11/3    0.000    0.000    0.012    0.004 {built-in method builtins.exec}
    53145    0.012    0.000    0.012    0.000 <frozen _collections_abc>:845(__init__)
      6/3    0.000    0.000    0.012    0.004 {built-in method builtins.__import__}
    66385    0.012    0.000    0.012    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:293(type)
        1    0.000    0.000    0.011    0.011 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\api.py:18(Presentation)
        1    0.000    0.000    0.011    0.011 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:70(open)
        1    0.000    0.000    0.011    0.011 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:155(_load)
        1    0.000    0.000    0.011    0.011 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:174(load)
        1    0.000    0.000    0.011    0.011 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:188(_load)
    26628    0.011    0.000    0.011    0.000 zipfile\__init__.py:726(_check_compression)
     10/6    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     5304    0.009    0.000    0.010    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:153(__init__)
    26754    0.009    0.000    0.009    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.009    0.009 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:210(_parts)
    13277    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
    26587    0.008    0.000    0.008    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:672(__init__)
    13278    0.007    0.000    0.008    0.000 E:\res\ppt.py:93(<genexpr>)
       22    0.000    0.000    0.008    0.000 <frozen zipimport>:688(_get_module_code)
    26587    0.008    0.000    0.008    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:698(reltype)
        1    0.000    0.000    0.008    0.008 multiprocessing\__init__.py:1(<module>)
     5335    0.006    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     5389    0.008    0.000    0.008    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
     5306    0.007    0.000    0.007    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    26518    0.007    0.000    0.007    0.000 {built-in method builtins.divmod}
        1    0.006    0.006    0.007    0.007 {method 'readlines' of '_io._IOBase' objects}
    13299    0.007    0.000    0.007    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:655(_rels)
        1    0.000    0.000    0.007    0.007 multiprocessing\context.py:1(<module>)
    27114    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
       14    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       13    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       13    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      164    0.001    0.000    0.005    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\_monitor.py:47(get_instances)
    26554    0.005    0.000    0.005    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:480(_recalculate_extents)
    13298    0.005    0.000    0.005    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:283(__init__)
        1    0.000    0.000    0.005    0.005 multiprocessing\context.py:70(RLock)
        1    0.000    0.000    0.005    0.005 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:197(_content_types)
    26587    0.005    0.000    0.005    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:703(rId)
       13    0.000    0.000    0.005    0.000 <frozen zipimport>:104(find_spec)
     5304    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
       12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       22    0.000    0.000    0.005    0.000 <frozen zipimport>:529(_get_data)
       12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
    26765    0.005    0.000    0.005    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\simpletypes.py:108(convert_from_xml)
       11    0.000    0.000    0.005    0.000 <frozen zipimport>:162(get_filename)
       22    0.000    0.000    0.004    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:33(__getitem__)
       36    0.000    0.000    0.004    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:171(__getitem__)
     5390    0.004    0.000    0.004    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.004    0.004 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:180(_blobs)
        1    0.000    0.000    0.004    0.004 multiprocessing\synchronize.py:1(<module>)
    10997    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.004    0.004 multiprocessing\reduction.py:1(<module>)
      164    0.000    0.000    0.004    0.000 _weakrefset.py:95(copy)
    13277    0.004    0.000    0.004    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:422(<genexpr>)
       11    0.000    0.000    0.004    0.000 <frozen zipimport>:131(get_code)
      165    0.001    0.000    0.003    0.000 _weakrefset.py:37(__init__)
    13277    0.003    0.000    0.003    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\autoshape.py:323(has_text_frame)
       22    0.001    0.000    0.003    0.000 <frozen zipimport>:583(_unmarshal_code)
    13368    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     5390    0.003    0.000    0.003    0.000 {method 'release' of '_thread.RLock' objects}
      659    0.001    0.000    0.003    0.000 _weakrefset.py:63(__iter__)
      164    0.000    0.000    0.003    0.000 _weakrefset.py:120(update)
    13299    0.003    0.000    0.003    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:495(__init__)
    13277    0.003    0.000    0.003    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\text\text.py:641(<genexpr>)
    13277    0.003    0.000    0.003    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:161(_is_member_elm)
       22    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.002    0.001 zipfile\__init__.py:1292(__init__)
      359    0.000    0.000    0.002    0.000 <frozen codecs>:319(decode)
     5306    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
       36    0.000    0.000    0.002    0.000 zipfile\__init__.py:1564(read)
     5304    0.002    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:112(__format__)
       22    0.002    0.000    0.002    0.000 {built-in method zlib.decompress}
        1    0.000    0.000    0.002    0.002 multiprocessing\util.py:1(<module>)
       21    0.000    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:332(load_rels_from_xml)
       22    0.000    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:543(load_from_xml)
      359    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
    13298    0.002    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:318(content_type)
        2    0.000    0.000    0.002    0.001 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:1265(close)
     5304    0.002    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:108(__init__)
       55    0.000    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:560(<genexpr>)
        1    0.000    0.000    0.002    0.002 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:236(_xml_rels)
       55    0.000    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:546(iter_valid_rels)
     22/1    0.000    0.000    0.002    0.002 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:246(load_rels)
     5304    0.002    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:167(colour)
       21    0.000    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:431(__new__)
       14    0.000    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:401(load)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       99    0.000    0.000    0.002    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:23(from_rel_ref)
        1    0.000    0.000    0.001    0.001 zipfile\__init__.py:1408(_RealGetContents)
       22    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
      330    0.000    0.000    0.001    0.000 _weakrefset.py:27(__exit__)
        7    0.001    0.000    0.001    0.000 {built-in method _io.open}
       36    0.000    0.000    0.001    0.000 zipfile\__init__.py:964(read)
        1    0.000    0.000    0.001    0.001 multiprocessing\process.py:1(<module>)
     5304    0.001    0.000    0.001    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:163(colour)
       72    0.000    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
       36    0.000    0.000    0.001    0.000 zipfile\__init__.py:1046(_read1)
       22    0.000    0.000    0.001    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:264(_xml_rels_for)
        1    0.000    0.000    0.001    0.001 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:222(_zipf)
        1    0.000    0.000    0.001    0.001 encodings\__init__.py:71(search_function)
       33    0.000    0.000    0.001    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:679(from_xml)
       48    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      330    0.001    0.000    0.001    0.000 _weakrefset.py:53(_commit_removals)
